Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Freq (Hz)	Delta Time (s)	Species Name	Special Remarks
320	Spectrogram 1	1	134.271264049	134.504170426	5435.743	7504.724	SHAL-KODAI-BlBl__-0002.WAV.wav	2068.981	0.2329		
321	Spectrogram 1	1	134.510640048	134.678850209	2843.548	3616.905	SHAL-KODAI-BlBl__-0002.WAV.wav	773.357	0.1682		
322	Spectrogram 1	1	134.720902750	134.859999614	3355.771	5083.377	SHAL-KODAI-BlBl__-0002.WAV.wav	1727.606	0.1391		
323	Spectrogram 1	1	134.902052154	135.034679396	2758.177	3451.185	SHAL-KODAI-BlBl__-0002.WAV.wav	693.008	0.1326		
324	Spectrogram 1	1	135.079966748	135.202889558	3198.599	5163.619	SHAL-KODAI-BlBl__-0002.WAV.wav	1965.020	0.1229		
325	Spectrogram 1	1	135.254646530	135.393743394	2672.806	3260.357	SHAL-KODAI-BlBl__-0002.WAV.wav	587.551	0.1391		
326	Spectrogram 1	1	135.448735178	135.565188367	4043.758	4907.507	SHAL-KODAI-BlBl__-0002.WAV.wav	863.749	0.1165		
327	Spectrogram 1	1	135.626649772	135.739868149	2582.414	3285.466	SHAL-KODAI-BlBl__-0002.WAV.wav	703.052	0.1132		
339	Spectrogram 1	1	140.090577872	140.203796249	3102.270	3453.814	SHAL-KODAI-BlBl__-0002.WAV.wav	351.544	0.1132		
340	Spectrogram 1	1	140.346127924	140.485224788	3102.270	3446.712	SHAL-KODAI-BlBl__-0002.WAV.wav	344.442	0.1391		
341	Spectrogram 1	1	140.556390626	140.842671381	4050.373	4987.823	SHAL-KODAI-BlBl__-0002.WAV.wav	937.450	0.2863		
342	Spectrogram 1	1	140.891193543	141.051316677	3627.810	5080.148	SHAL-KODAI-BlBl__-0002.WAV.wav	1452.338	0.1601		
343	Spectrogram 1	1	141.096604028	141.357006297	2413.386	3457.365	SHAL-KODAI-BlBl__-0002.WAV.wav	1043.979	0.2604		
344	Spectrogram 1	1	141.451624513	141.804218889	5432.069	7161.381	SHAL-KODAI-BlBl__-0002.WAV.wav	1729.312	0.3526		
345	Spectrogram 1	1	141.849506240	141.953020186	4308.534	5419.981	SHAL-KODAI-BlBl__-0002.WAV.wav	1111.447	0.1035		
346	Spectrogram 1	1	141.949785375	142.101821482	3360.481	4216.259	SHAL-KODAI-BlBl__-0002.WAV.wav	855.778	0.1520		
371	Spectrogram 1	1	146.692019212	146.789063536	2245.483	3701.372	SHAL-KODAI-BlBl__-0002.WAV.wav	1455.889	0.0970		
373	Spectrogram 1	1	146.928160400	147.083431318	3008.937	3449.255	SHAL-KODAI-BlBl__-0002.WAV.wav	440.318	0.1553		
374	Spectrogram 1	1	147.151362662	147.468374120	4059.112	4993.011	SHAL-KODAI-BlBl__-0002.WAV.wav	933.899	0.3170		
375	Spectrogram 1	1	147.510426660	147.662462768	3615.319	5167.008	SHAL-KODAI-BlBl__-0002.WAV.wav	1551.689	0.1520		
376	Spectrogram 1	1	147.710984930	147.969769793	2404.370	3625.896	SHAL-KODAI-BlBl__-0002.WAV.wav	1221.526	0.2588		
377	Spectrogram 1	1	148.034466197	148.264137764	5278.497	7302.537	SHAL-KODAI-BlBl__-0002.WAV.wav	2024.040	0.2297		
378	Spectrogram 1	1	148.299720683	148.655549870	3114.686	6204.010	SHAL-KODAI-BlBl__-0002.WAV.wav	3089.324	0.3558		
380	Spectrogram 1	1	148.697602410	148.972561327	3182.329	4652.421	SHAL-KODAI-BlBl__-0002.WAV.wav	1470.092	0.2750		
